 Cycle    Time         FAM        HEX        ROX         CY5
     1 2266827  426.713287 465.230769 819.664336  630.685315
     2 2375827  428.103497 466.255944 822.665734  633.365035
     3 2485827  429.206993 467.057343 825.604196  635.608858
     4 2594829  430.023776 467.634965 828.479720  637.416783
     5 2704827  430.553846 467.988811 831.292308  638.788811
     6 2814827  430.797203 468.118881 834.041958  639.724942
     7 2924844  430.114219 467.869464 836.393939  639.251748
     8 3034839  429.811189 467.825175 838.941725  639.179487
     9 3147827  429.165501 467.333333 841.489510  639.249417
    10 3257831  428.587413 466.582751 844.265734  639.769231
    11 3367830  428.414918 466.414918 847.827506  639.888112
    12 3477827  427.603730 466.228438 849.004662  640.529138
    13 3587836  426.752914 466.279720 852.030303  641.016317
    14 3697827  426.794872 466.666667 855.009324  641.030303
    15 3807841  426.951049 467.631702 857.433566  641.198135
    16 3917827  429.069930 468.263403 860.076923  641.282051
    17 4027827  427.198135 468.512821 861.946387  641.104895
    18 4137833  425.496503 469.337995 863.610723  641.375291
    19 4247844  423.668998 470.006993 864.585082  641.916084
    20 4357827  423.314685 471.261072 865.757576  642.617716
    21 4467831  423.403263 471.617716 867.205128  643.135198
    22 4580831  421.853147 471.550117 868.354312  644.337995
    23 4690827  423.139860 471.909091 870.165501  644.613054
    24 4800836  425.289044 472.727273 871.659674  644.913753
    25 4930827  428.694639 473.867133 873.354312  644.713287
    26 5040827  431.391608 473.613054 874.431235  645.300699
    27 5150827  429.888112 473.871795 874.876457  646.606061
    28 5260828  430.522145 473.962704 875.116550  650.284382
    29 5370828  430.953380 476.233100 875.160839  658.461538
    30 5480827  431.734266 474.585082 875.293706  672.571096
    31 5590828  432.456876 472.986014 875.065268  695.489510
    32 5700837  434.379953 472.144522 874.913753  728.027972
    33 5810827  442.925408 473.093240 875.347319  769.764569
    34 5920828  458.965035 475.953380 875.237762  819.566434
    35 6030827  484.850816 481.652681 875.331002  874.827506
    36 6140827  525.652681 490.769231 874.303030  933.531469
    37 6250827  574.944056 503.319347 873.694639  991.254079
    38 6360828  636.547786 519.487179 872.839161 1045.475524
    39 6470839  706.342657 539.508159 872.146853 1095.095571
    40 6580829  782.412587 557.503497 871.899767 1137.333333
    41 6690832  855.416783 577.398601 871.718881 1172.727273
    42 6800827  931.574825 598.811189 871.703497 1202.272727
    43 6910837 1010.886713 621.741259 871.853613 1225.969697
    44 7020834 1093.352448 646.188811 872.169231 1243.818182
    45 7130836 1178.972028 672.153846 872.650350 1255.818182
