 Cycle    Time        FAM        HEX        ROX         CY5
     1 2268129 549.174825 506.384615 242.678322  841.468531
     2 2378130 550.615385 508.572028 242.762238  843.532867
     3 2487130 551.715618 510.416783 242.888112  845.489977
     4 2596138 552.475524 511.918881 243.055944  847.339860
     5 2705129 552.895105 513.078322 243.265734  849.082517
     6 2814129 552.974359 513.895105 243.517483  850.717949
     7 2923130 551.685315 513.657343 244.167832  851.869464
     8 3032130 550.715618 513.664336 244.356643  853.356643
     9 3141130 550.543124 513.062937 244.710956  854.305361
    10 3250130 549.608392 512.876457 245.289044  854.997669
    11 3359130 548.981352 512.421911 245.491841  855.759907
    12 3468130 548.557110 511.442890 245.333333  856.449883
    13 3577130 548.412587 510.370629 244.871795  855.456876
    14 3686142 548.585082 510.405594 245.310023  855.205128
    15 3795130 549.055944 511.296037 245.578089  856.198135
    16 3904130 551.146853 513.083916 245.503497  857.375291
    17 4018130 551.379953 513.731935 245.503497  859.179487
    18 4127130 551.671329 513.869464 245.242424  860.678322
    19 4236130 552.200466 514.072261 245.181818  862.363636
    20 4345130 551.456876 513.678322 245.594406  864.515152
    21 4454130 551.599068 513.398601 245.638695  865.757576
    22 4563130 551.470862 512.981352 245.671329  867.519814
    23 4672133 551.540793 512.622378 245.668998  868.424242
    24 4781130 551.680653 512.557110 245.820513  869.403263
    25 4890130 551.846154 512.876457 245.829837  870.351981
    26 4999131 552.864802 513.034965 246.053613  871.200466
    27 5108134 551.638695 512.517483 245.755245  873.037296
    28 5217129 551.032634 512.853147 246.004662  876.191142
    29 5326130 551.135198 514.102564 245.960373  882.673660
    30 5435131 550.307692 513.405594 245.902098  896.445221
    31 5564130 550.174825 513.270396 245.953380  918.937063
    32 5673130 549.566434 513.107226 245.400932  952.853147
    33 5782130 551.170163 514.834499 245.258741  996.526807
    34 5891130 552.531469 516.678322 245.123543 1052.645688
    35 6000130 555.622378 520.240093 245.433566 1116.118881
    36 6109130 560.710956 525.410256 245.846154 1183.678322
    37 6218130 567.298368 532.398601 246.291375 1250.454545
    38 6327130 576.645688 541.685315 247.480186 1310.300699
    39 6436130 587.510490 551.121212 247.804196 1366.699301
    40 6544130 598.200466 558.909091 248.307692 1421.055944
    41 6652130 610.471329 569.109091 248.695105 1464.268531
    42 6760130 623.956643 580.218182 248.984615 1501.306294
    43 6868129 638.656410 592.236364 249.176224 1532.169231
    44 6977138 654.570629 605.163636 249.269930 1556.857343
    45 7086130 671.699301 619.000000 249.265734 1575.370629
